PRESIDENT,1,240716,NULL
,,,,,,,,,,
VICE PRESIDENT,1,184171,NULL
,,,,,,,,,,
FULL PROFESSOR,1,140068,NULL
FULL PROFESSOR,2,148055,NULL
FULL PROFESSOR,3,156042,NULL
FULL PROFESSOR,4,164028,NULL
FULL PROFESSOR,5,172016,NULL
FULL PROFESSOR,6,177078,NULL
,,,,,,,,,,
PROFESSOR,1,101447,NULL
PROFESSOR,2,108276,NULL
PROFESSOR,3,115107,NULL
PROFESSOR,4,121935,NULL
PROFESSOR,5,128770,NULL
PROFESSOR,6,135598,FULL PROFESSOR
,,,,,,,,,,
ASSOCIATE PROFESSOR A,1,87548,NULL
ASSOCIATE PROFESSOR A,2,91018,NULL
ASSOCIATE PROFESSOR A,3,94492,NULL
ASSOCIATE PROFESSOR A,4,97988,NULL
ASSOCIATE PROFESSOR A,5,101461,NULL
ASSOCIATE PROFESSOR A,6,104948,NULL
ASSOCIATE PROFESSOR A,7,108430,NULL
ASSOCIATE PROFESSOR A,8,111916,NULL
ASSOCIATE PROFESSOR A,9,115395,PROFESSOR
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),1,62069,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),2,73093,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),3,77006,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),4,79703,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),5,83634,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),6,87604,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),7,91563,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),8,95514,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),9,99471,PROFESSOR
,,,,,,,,,,
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),1,46955,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),2,49543,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),3,51676,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),4,53644,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),5,55689,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),6,57323,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),7,58990,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),8,60654,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),9,62314,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),10,63965,NULL
,,,,,,,,,
TEACHING ASSISTANT,1,37010,NULL
TEACHING ASSISTANT,2,40061,NULL
,,,,,,,,,,
SENIOR ADMINISTRATIVE OFFICER III,1,106800,NULL
SENIOR ADMINISTRATIVE OFFICER III,2,113990,NULL
SENIOR ADMINISTRATIVE OFFICER III,3,121181,NULL
SENIOR ADMINISTRATIVE OFFICER III,4,128369,NULL
SENIOR ADMINISTRATIVE OFFICER III,5,135565,NULL
SENIOR ADMINISTRATIVE OFFICER III,6,142758,NULL
,,,,,,,,,,
SENIOR ADMINISTRATIVE OFFICER II,1,94941,NULL
SENIOR ADMINISTRATIVE OFFICER II,2,98703,NULL
SENIOR ADMINISTRATIVE OFFICER II,3,102487,NULL
SENIOR ADMINISTRATIVE OFFICER II,4,106270,NULL
SENIOR ADMINISTRATIVE OFFICER II,5,110030,NULL
SENIOR ADMINISTRATIVE OFFICER II,6,113810,NULL
SENIOR ADMINISTRATIVE OFFICER II,7,117589,NULL
SENIOR ADMINISTRATIVE OFFICER II,8,121368,NULL
SENIOR ADMINISTRATIVE OFFICER II,9,125140,NULL
,,,,,,,,,,
SENIOR ADMINISTRATIVE OFFICER I,1,67132,NULL
SENIOR ADMINISTRATIVE OFFICER I,2,69712,NULL
SENIOR ADMINISTRATIVE OFFICER I,3,72480,NULL
SENIOR ADMINISTRATIVE OFFICER I,4,75725,NULL
SENIOR ADMINISTRATIVE OFFICER I,5,79088,NULL
SENIOR ADMINISTRATIVE OFFICER I,6,82103,NULL
SENIOR ADMINISTRATIVE OFFICER I,7,86389,NULL
SENIOR ADMINISTRATIVE OFFICER I,8,90697,NULL
SENIOR ADMINISTRATIVE OFFICER I,9,95004,NULL
SENIOR ADMINISTRATIVE OFFICER I,10,99296,NULL
SENIOR ADMINISTRATIVE OFFICER I,11,103583,NULL
SENIOR ADMINISTRATIVE OFFICER I,12,107875,NULL
,,,,,,,,,,
SENIOR EXECUTIVE ADMINISTRATOR,1,58657,NULL
SENIOR EXECUTIVE ADMINISTRATOR,2,60174,NULL
SENIOR EXECUTIVE ADMINISTRATOR,3,61704,NULL
SENIOR EXECUTIVE ADMINISTRATOR,4,63240,NULL
SENIOR EXECUTIVE ADMINISTRATOR,5,64776,NULL
SENIOR EXECUTIVE ADMINISTRATOR,6,66317,NULL
SENIOR EXECUTIVE ADMINISTRATOR,7,68510,NULL
SENIOR EXECUTIVE ADMINISTRATOR,8,72779,NULL
SENIOR EXECUTIVE ADMINISTRATOR,9,77291,NULL
SENIOR EXECUTIVE ADMINISTRATOR,10,79691,NULL
SENIOR EXECUTIVE ADMINISTRATOR,11,83397,NULL
,,,,,,,,,,
EXECUTIVE ADMINISTRATOR,1,44752,NULL
EXECUTIVE ADMINISTRATOR,2,47050,NULL
EXECUTIVE ADMINISTRATOR,3,49360,NULL
EXECUTIVE ADMINISTRATOR,4,51268,NULL
EXECUTIVE ADMINISTRATOR,5,53218,NULL
EXECUTIVE ADMINISTRATOR,6,55306,NULL
EXECUTIVE ADMINISTRATOR,7,57462,NULL
EXECUTIVE ADMINISTRATOR,8,59557,NULL
EXECUTIVE ADMINISTRATOR,9,61263,NULL
EXECUTIVE ADMINISTRATOR,10,62840,NULL
EXECUTIVE ADMINISTRATOR,11,64409,NULL
,,,,,,,,,,
SENIOR ADMINISTRATOR,1,39893,NULL
SENIOR ADMINISTRATOR,2,40785,NULL
SENIOR ADMINISTRATOR,3,42037,NULL
SENIOR ADMINISTRATOR,4,43282,NULL
SENIOR ADMINISTRATOR,5,44546,NULL
SENIOR ADMINISTRATOR,6,45799,NULL
SENIOR ADMINISTRATOR,7,47069,NULL
SENIOR ADMINISTRATOR,8,48336,NULL
SENIOR ADMINISTRATOR,9,49613,NULL
SENIOR ADMINISTRATOR,10,50660,NULL
SENIOR ADMINISTRATOR,11,51944,NULL
SENIOR ADMINISTRATOR,12,53265,NULL
,,,,,,,,,,
ADMINISTRATOR,1,26572,NULL
ADMINISTRATOR,2,27495,NULL
